,result,odds-home,odds-draw,odds-away,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,home-shots,home-shots_on_target,home-possession,home-opposition_shots,home-opposition_shots_on_target,home-opposition_possession,away-wins,away-draws,away-losses,away-goals,away-opposition-goals,away-shots,away-shots_on_target,away-possession,away-opposition_shots,away-opposition_shots_on_target,away-opposition_possession,home_shot_accuracy,home_shot_efficiency,home_opposition_shot_accuracy,home_opposition_shot_efficiency,away_shot_accuracy,away_shot_efficiency,away_opposition_shot_accuracy,away_opposition_shot_efficiency
6845,D,1.95,3.25,4.33,3,2,5,10,20,127,63,399,111,51,511,3,3,4,9,12,100,38,422,80,40,488,0.49606299212598426,0.15873015873015872,0.4594594594594595,0.39215686274509803,0.38,0.23684210526315788,0.5,0.3
6846,A,2.0,3.3,4.0,2,1,7,9,18,100,48,439,92,52,471,5,2,3,16,12,83,47,442,99,42,468,0.48,0.1875,0.5652173913043478,0.34615384615384615,0.5662650602409639,0.3404255319148936,0.42424242424242425,0.2857142857142857
6847,D,1.4,5.0,7.5,8,1,1,23,5,140,76,619,65,36,291,4,1,5,19,13,119,67,495,100,58,415,0.5428571428571428,0.3026315789473684,0.5538461538461539,0.1388888888888889,0.5630252100840336,0.2835820895522388,0.58,0.22413793103448276
6848,H,1.36,5.0,8.5,8,2,0,22,6,133,69,557,78,37,352,2,3,5,11,15,126,69,494,88,47,416,0.518796992481203,0.3188405797101449,0.47435897435897434,0.16216216216216217,0.5476190476190477,0.15942028985507245,0.5340909090909091,0.3191489361702128
6849,H,1.62,3.75,6.0,6,1,3,19,13,107,62,475,98,61,434,4,2,4,11,15,74,43,460,110,58,449,0.5794392523364486,0.3064516129032258,0.6224489795918368,0.21311475409836064,0.581081081081081,0.2558139534883721,0.5272727272727272,0.25862068965517243
6850,A,3.8,4.0,1.85,2,2,6,9,20,103,54,440,98,57,470,3,3,4,13,18,110,55,453,121,63,457,0.5242718446601942,0.16666666666666666,0.5816326530612245,0.3508771929824561,0.5,0.23636363636363636,0.5206611570247934,0.2857142857142857
6851,H,1.8,3.6,4.6,6,1,3,17,17,95,58,420,145,77,489,3,5,2,15,12,95,46,446,77,25,464,0.6105263157894737,0.29310344827586204,0.5310344827586206,0.22077922077922077,0.4842105263157895,0.32608695652173914,0.3246753246753247,0.48
6852,D,1.8,3.75,4.33,3,3,4,16,16,78,42,424,106,57,485,3,2,5,12,14,89,43,459,110,54,450,0.5384615384615384,0.38095238095238093,0.5377358490566038,0.2807017543859649,0.48314606741573035,0.27906976744186046,0.4909090909090909,0.25925925925925924
6853,A,2.5,3.2,3.0,2,5,3,13,17,76,32,333,126,66,576,2,3,5,7,16,101,57,468,73,41,442,0.42105263157894735,0.40625,0.5238095238095238,0.25757575757575757,0.5643564356435643,0.12280701754385964,0.5616438356164384,0.3902439024390244
6854,D,3.8,3.3,2.05,5,2,3,13,9,108,56,449,133,73,461,2,4,4,12,16,141,76,518,80,40,390,0.5185185185185185,0.23214285714285715,0.5488721804511278,0.1232876712328767,0.5390070921985816,0.15789473684210525,0.5,0.4
