,result,odds-home,odds-draw,odds-away,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,home-shots,home-shots_on_target,home-opposition_shots,home-opposition_shots_on_target,away-wins,away-draws,away-losses,away-goals,away-opposition-goals,away-shots,away-shots_on_target,away-opposition_shots,away-opposition_shots_on_target,home_shot_accuracy,home_shot_efficiency,home_opposition_shot_accuracy,home_opposition_shot_efficiency,away_shot_accuracy,away_shot_efficiency,away_opposition_shot_accuracy,away_opposition_shot_efficiency
191,D,2.62,3.25,2.75,1,2,7,8,21,118,55,146,69,2,3,5,11,19,115,60,127,71,0.4661016949152542,0.14545454545454545,0.4726027397260274,0.30434782608695654,0.5217391304347826,0.18333333333333332,0.5590551181102362,0.2676056338028169
192,A,3.75,3.4,2.0,4,1,5,14,16,93,45,129,60,9,1,0,19,2,130,65,118,56,0.4838709677419355,0.3111111111111111,0.46511627906976744,0.26666666666666666,0.5,0.2923076923076923,0.4745762711864407,0.03571428571428571
193,A,2.0,3.3,4.0,6,2,2,11,7,121,59,122,66,3,4,3,13,10,136,77,106,41,0.48760330578512395,0.1864406779661017,0.5409836065573771,0.10606060606060606,0.5661764705882353,0.16883116883116883,0.3867924528301887,0.24390243902439024
194,H,1.4,4.5,9.0,6,2,2,12,9,201,115,109,54,4,2,4,13,10,135,64,125,62,0.572139303482587,0.10434782608695652,0.4954128440366973,0.16666666666666666,0.4740740740740741,0.203125,0.496,0.16129032258064516
195,H,1.73,3.4,5.5,7,3,0,21,10,138,54,101,47,5,0,5,13,11,162,71,105,56,0.391304347826087,0.3888888888888889,0.46534653465346537,0.2127659574468085,0.4382716049382716,0.18309859154929578,0.5333333333333333,0.19642857142857142
196,H,2.05,3.4,3.6,4,4,2,18,14,123,65,112,53,2,5,3,15,16,106,50,141,67,0.5284552845528455,0.27692307692307694,0.4732142857142857,0.2641509433962264,0.4716981132075472,0.3,0.475177304964539,0.23880597014925373
197,D,1.67,3.6,5.75,6,2,2,16,8,131,71,150,79,2,1,7,11,21,121,59,146,78,0.5419847328244275,0.22535211267605634,0.5266666666666666,0.10126582278481013,0.48760330578512395,0.1864406779661017,0.5342465753424658,0.2692307692307692
198,H,4.5,3.5,1.83,4,3,3,15,11,129,77,106,39,6,2,2,11,9,195,106,106,52,0.5968992248062015,0.19480519480519481,0.36792452830188677,0.28205128205128205,0.5435897435897435,0.10377358490566038,0.49056603773584906,0.17307692307692307
199,A,5.0,3.6,1.72,1,4,5,10,19,120,61,124,66,5,5,0,13,3,133,59,76,40,0.5083333333333333,0.16393442622950818,0.532258064516129,0.2878787878787879,0.44360902255639095,0.22033898305084745,0.5263157894736842,0.075
200,D,1.9,3.4,4.33,3,4,3,12,14,124,70,106,47,5,3,2,12,7,128,69,137,67,0.5645161290322581,0.17142857142857143,0.44339622641509435,0.2978723404255319,0.5390625,0.17391304347826086,0.48905109489051096,0.1044776119402985
