result,odds-home,odds-draw,odds-away,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,away-wins,away-draws,away-losses,away-goals,away-opposition-goals
H,1.57,3.75,6.0,5,3,2,17,10,3,4,3,11,10
H,1.57,3.7,6.5,4,3,3,13,12,4,2,4,12,12
H,1.83,3.25,4.75,6,1,3,13,8,5,1,4,12,12
D,2.25,3.1,3.4,5,1,4,10,11,4,2,4,12,8
D,1.33,5.0,9.0,6,4,0,18,5,3,2,5,11,14
D,2.4,3.2,3.0,2,5,3,13,16,6,1,3,14,9
A,6.5,4.2,1.5,4,3,3,15,10,5,5,0,17,6
H,2.1,3.25,3.6,0,3,7,7,24,2,3,5,7,12
H,1.73,3.4,5.25,3,2,5,12,15,2,2,6,10,15
A,3.0,3.2,2.38,4,4,2,13,6,4,3,3,13,12
H,3.6,3.2,2.1,4,1,5,11,14,6,4,0,14,1
A,4.0,3.3,1.95,2,5,3,11,14,6,2,2,19,9
A,2.25,3.25,3.25,3,3,4,11,13,5,1,4,12,13
D,2.05,3.3,3.6,4,2,4,12,14,5,4,1,20,11
H,1.73,3.5,5.0,5,4,1,18,9,2,3,5,9,16
D,2.8,3.2,2.5,2,2,6,7,13,4,2,4,14,11
H,1.53,3.8,6.5,5,4,1,12,2,2,5,3,13,16
A,1.85,3.4,4.33,2,1,7,7,16,1,2,7,7,23
H,1.85,3.5,4.2,7,1,2,24,9,4,3,3,12,13
A,1.5,4.0,7.0,5,2,3,13,11,4,1,5,8,14
H,2.0,3.2,4.0,4,3,3,11,5,4,0,6,10,12
D,2.75,3.1,2.63,6,2,2,13,6,3,2,5,13,14
D,5.25,3.6,1.67,5,1,4,13,12,6,4,0,18,5
A,2.15,3.1,3.6,2,5,3,13,14,2,1,7,7,17
A,4.0,3.3,1.95,3,3,4,13,11,7,1,2,24,9
A,2.5,3.0,3.0,3,0,7,6,13,5,3,2,12,7
H,2.1,3.1,3.8,3,3,4,13,13,5,4,1,10,2
D,2.3,3.1,3.2,5,1,4,9,12,5,2,3,13,6
H,3.8,3.2,2.05,2,3,5,10,21,6,3,1,20,10
H,1.83,3.4,4.5,2,2,6,10,18,2,3,5,7,11
A,1.8,3.4,4.75,4,3,3,12,13,4,2,4,13,13
D,1.44,4.2,7.5,5,5,0,18,6,4,2,4,10,12
H,2.6,3.1,2.8,2,4,4,6,12,2,2,6,5,12
A,1.67,3.75,5.5,4,4,2,12,10,5,0,5,12,19
A,6.5,3.6,1.57,4,2,4,13,14,6,4,0,24,7
D,1.57,4.0,6.0,5,3,2,16,9,3,2,5,11,10
A,1.57,4.0,6.0,10,0,0,30,4,2,4,4,12,13
H,2.2,3.1,3.6,3,3,4,7,10,3,0,7,8,19
A,4.0,3.1,2.05,5,2,3,11,16,5,2,3,13,8
H,3.1,3.1,2.4,4,2,4,16,17,5,1,4,13,12
A,10.0,5.0,1.33,3,1,6,12,16,7,3,0,20,6
D,1.75,3.6,5.0,2,4,4,13,17,1,2,7,7,15
D,2.6,3.1,2.9,4,1,5,9,13,2,4,4,4,7
D,1.57,4.0,6.0,3,2,5,16,12,5,2,3,16,13
D,2.55,3.2,2.9,3,5,2,14,15,5,3,2,14,6
H,1.95,3.3,4.2,4,2,4,6,11,1,4,5,6,16
A,2.5,3.2,2.9,5,3,2,12,7,6,0,4,12,12
A,2.1,3.25,3.75,5,4,1,15,8,5,3,2,22,12
D,2.4,3.0,3.3,6,3,1,12,6,4,2,4,10,13
H,1.5,3.8,7.5,2,5,3,13,16,0,4,6,5,19
A,1.91,3.3,4.5,7,0,3,12,10,5,1,4,8,10
H,3.4,3.3,2.2,0,3,7,4,15,5,3,2,25,13
A,2.6,3.1,2.9,2,5,3,5,5,2,3,5,15,12
D,2.4,3.1,3.2,4,3,3,15,14,4,4,2,14,12
H,1.73,3.6,5.25,4,4,2,12,7,1,5,4,11,17
H,1.95,3.3,4.2,1,2,7,6,14,3,1,6,12,16
H,1.25,6.0,12.0,8,2,0,21,5,6,1,3,13,10
A,3.0,3.1,2.5,4,3,3,11,8,3,5,2,14,15
H,2.9,3.1,2.6,2,1,7,10,17,6,0,4,11,12
H,4.2,3.4,1.95,1,2,7,7,16,3,5,2,13,14
D,2.0,3.3,4.0,4,3,3,10,12,4,3,3,16,15
H,1.6,3.75,6.5,3,5,2,13,14,5,4,1,10,6
A,4.0,3.1,2.1,5,1,4,9,10,3,3,4,17,12
D,2.38,3.2,3.2,5,2,3,25,15,2,5,3,6,6
A,7.5,4.0,1.5,4,5,1,14,11,8,2,0,24,6
H,1.62,3.8,6.0,6,1,3,13,12,3,3,4,9,8
D,2.1,3.25,3.75,0,5,5,9,19,2,2,6,8,12
A,5.5,3.6,1.7,0,3,7,5,20,5,3,2,15,7
A,2.88,3.0,2.7,4,4,2,8,6,4,5,1,13,8
H,2.3,3.1,3.4,3,4,3,13,16,4,4,2,13,13
H,2.2,3.2,3.5,5,0,5,10,13,4,3,3,11,13
D,1.67,3.5,6.0,2,5,3,5,5,3,1,6,11,15
H,1.67,3.75,5.5,4,3,3,17,16,0,3,7,5,18
H,1.95,3.5,4.0,6,2,2,15,6,6,1,3,14,12
A,1.67,4.0,5.0,4,2,4,17,11,4,3,3,21,14
H,2.2,3.1,3.6,2,2,6,9,13,4,1,5,7,12
H,1.18,7.0,17.0,8,2,0,23,6,0,6,4,9,18
A,1.91,3.2,4.75,3,3,4,9,10,2,2,6,9,14
A,2.1,3.2,3.8,3,2,5,12,14,2,2,6,8,14
D,1.8,3.4,5.0,6,0,4,12,12,4,3,3,8,8
H,2.1,3.4,3.6,4,2,4,12,15,0,6,4,9,20
A,7.5,4.5,1.44,5,2,3,20,16,8,2,0,24,5
H,1.7,3.6,5.5,3,4,3,13,16,3,1,6,6,14
H,2.1,3.25,3.75,2,2,6,9,14,3,3,4,10,11
H,3.4,3.4,2.15,5,3,2,21,11,6,2,2,15,6
D,2.3,3.2,3.3,5,4,1,14,7,3,4,3,15,17
A,2.45,3.25,3.0,6,1,3,13,11,3,2,5,15,11
D,3.6,3.2,2.15,0,3,7,6,21,2,6,2,5,4
H,2.9,2.9,2.8,4,4,2,8,7,2,6,2,6,5
A,1.95,3.5,4.0,3,5,2,17,17,6,1,3,12,11
D,2.8,3.2,2.6,2,2,6,8,15,5,1,4,19,16
A,1.57,3.8,6.5,5,2,3,14,9,3,1,6,11,14
D,1.95,3.5,4.0,3,2,5,16,11,3,4,3,13,16
D,1.91,3.2,4.75,3,1,6,6,14,2,2,6,12,16
H,1.08,10.0,34.0,8,2,0,25,6,0,4,6,7,21
D,3.0,3.0,2.6,3,3,4,11,11,5,5,0,16,8
H,1.83,3.3,5.0,5,1,4,10,13,5,1,4,12,13
H,2.38,3.4,3.0,0,5,5,8,21,6,2,2,24,11
D,10.0,5.0,1.33,5,4,1,10,5,8,2,0,24,7
H,3.0,3.2,2.5,2,2,6,11,15,2,5,3,15,20
A,1.91,3.3,4.5,5,1,4,11,14,3,4,3,12,11
H,2.5,3.1,3.1,2,5,3,5,6,6,1,3,13,10
D,2.25,3.3,3.3,4,2,4,16,16,5,2,3,23,13
D,1.85,3.5,4.33,3,5,2,15,16,6,1,3,14,11
A,1.83,3.5,4.5,3,1,6,13,15,1,3,6,7,15
D,3.6,3.25,2.15,3,2,5,5,12,4,2,4,13,13
A,3.1,3.1,2.5,4,6,0,16,10,3,3,4,19,13
A,3.0,3.3,2.4,0,4,6,7,21,1,5,4,10,16
A,3.5,3.3,2.15,3,2,5,11,13,2,6,2,15,17
H,2.0,3.2,4.2,2,4,4,13,19,4,1,5,10,16
A,2.4,3.1,3.25,6,1,3,15,12,3,4,3,5,5
D,2.5,3.0,3.1,1,3,6,7,14,3,3,4,5,11
A,1.53,3.75,7.5,4,3,3,13,10,5,4,1,10,5
D,1.65,3.75,5.5,3,3,4,18,13,2,1,7,10,16
A,6.5,4.33,1.5,4,3,3,20,13,7,3,0,22,6
D,1.67,3.75,5.5,4,4,2,13,9,0,3,7,6,23
D,2.05,3.1,4.2,6,1,3,13,9,4,5,1,14,9
A,2.0,3.4,3.8,2,5,3,13,14,4,3,3,15,14
D,2.4,3.0,3.3,5,4,1,10,5,3,4,3,13,15
H,1.75,3.5,5.25,4,4,2,7,4,5,2,3,17,15
D,1.4,4.75,8.0,3,3,4,17,12,1,3,6,7,14
H,2.05,3.25,4.0,3,5,2,14,15,5,2,3,11,10
H,2.0,3.3,4.0,1,2,7,8,16,4,1,5,10,14
D,2.38,3.1,3.3,3,3,4,6,12,1,5,4,13,17
H,1.25,5.5,13.0,7,3,0,21,5,4,3,3,11,8
D,2.6,3.1,2.9,4,4,2,12,8,4,3,3,20,14
D,2.38,3.25,3.2,4,5,1,13,8,5,1,4,12,13
D,2.38,3.1,3.3,0,4,6,6,20,3,1,6,12,15
H,2.45,3.1,3.1,2,2,6,12,16,3,5,2,11,8
D,2.8,3.2,2.63,3,5,2,14,15,2,4,4,17,13
A,7.0,4.2,1.5,5,1,4,12,13,8,2,0,26,6
H,3.25,3.3,2.3,0,4,6,6,15,4,2,4,12,13
A,2.5,3.0,3.2,4,1,5,10,14,4,6,0,14,8
D,2.15,3.1,3.75,5,1,4,17,18,3,3,4,7,13
H,2.3,3.25,3.2,4,3,3,21,15,2,2,6,10,15
H,1.91,3.3,4.5,5,2,3,11,10,5,4,1,11,6
D,2.55,3.1,3.0,0,6,4,11,18,4,4,2,9,4
D,4.2,3.5,1.91,0,5,5,7,18,4,4,2,14,14
H,2.2,3.4,3.25,3,3,4,12,12,5,2,3,17,14
A,3.6,3.25,2.15,2,0,8,6,20,4,4,2,14,9
D,1.85,3.4,4.75,3,2,5,11,10,2,4,4,7,13
D,1.62,3.6,6.5,5,2,3,11,8,3,2,5,10,14
H,3.5,3.25,2.2,6,0,4,14,18,9,0,1,28,5
H,2.25,3.1,3.5,2,1,7,6,14,3,2,5,7,10
D,1.95,3.4,4.2,5,1,4,14,13,4,3,3,13,12
D,2.15,3.25,3.6,3,2,5,9,13,5,1,4,11,17
H,2.5,3.0,3.2,4,4,2,9,7,5,1,4,11,14
D,1.62,3.75,6.0,3,5,2,12,13,1,3,6,7,15
H,2.5,3.0,3.1,3,3,4,6,12,6,1,3,11,9
D,1.85,3.4,4.75,3,5,2,8,4,5,3,2,22,12
A,2.4,3.1,3.25,2,1,7,8,14,2,6,2,14,16
D,1.62,3.75,6.0,2,4,4,16,12,4,1,5,10,15
H,1.33,5.0,9.0,4,2,4,13,13,0,5,5,6,17
H,1.1,10.0,26.0,8,2,0,26,6,3,2,5,13,14
A,2.6,3.1,2.9,3,4,3,10,9,0,7,3,10,16
D,2.0,3.25,4.2,5,5,0,15,7,4,2,4,14,16
H,2.88,3.1,2.63,6,1,3,12,10,5,2,3,16,9
D,2.4,3.0,3.3,4,2,4,9,13,4,2,4,7,12
A,3.75,3.3,2.1,0,4,6,6,20,5,5,0,16,8
H,2.4,3.0,3.3,3,5,2,14,15,2,6,2,6,5
A,3.0,3.0,2.6,4,3,3,16,15,2,6,2,13,15
D,2.05,3.2,4.0,1,3,6,8,16,3,3,4,10,11
H,2.05,3.1,4.0,5,3,2,22,12,5,3,2,10,6
H,2.75,3.0,2.8,3,1,6,12,15,1,1,8,6,14
A,2.9,3.2,2.55,5,0,5,10,15,2,4,4,15,11
A,8.0,4.75,1.4,1,6,3,12,16,8,2,0,23,5
H,1.91,3.3,4.5,3,5,2,15,15,1,5,4,11,16
H,1.85,3.25,5.0,4,3,3,11,13,3,1,6,11,15
D,2.38,3.1,3.3,4,2,4,9,14,4,4,2,14,14
A,1.36,4.75,9.5,2,5,3,5,5,0,3,7,8,24
A,2.25,3.2,3.4,1,1,8,6,14,5,0,5,11,15
H,1.91,3.4,4.33,5,3,2,23,13,4,2,4,16,17
D,2.25,3.3,3.3,5,2,3,15,8,3,3,4,17,11
H,1.17,7.0,19.0,8,2,0,21,5,5,3,2,11,7
D,2.7,3.1,2.8,3,4,3,12,11,6,1,3,12,10
H,1.91,3.3,4.5,5,5,0,18,10,0,4,6,8,17
H,3.4,3.0,2.38,5,2,3,12,12,4,4,2,19,15
A,7.5,3.8,1.53,6,1,3,12,10,8,2,0,24,6
A,3.2,3.3,2.3,1,2,7,8,22,4,2,4,11,16
H,2.3,3.2,3.3,4,4,2,15,15,5,5,0,18,10
H,2.05,3.3,3.8,4,1,5,16,18,2,5,3,12,12
A,2.4,3.2,3.1,0,4,6,8,16,1,1,8,7,15
D,1.95,3.3,4.33,3,4,3,18,11,2,4,4,6,8
H,5.5,3.5,1.73,3,0,7,10,15,4,3,3,15,9
H,2.3,3.2,3.1,5,0,5,12,16,6,2,2,22,11
A,2.15,3.3,3.6,1,5,4,11,19,5,3,2,12,12
H,1.44,4.0,9.0,4,3,3,17,16,4,0,6,11,13
H,1.62,3.8,6.0,6,2,2,14,13,1,2,7,7,19
H,1.91,3.3,4.5,4,2,4,10,15,0,3,7,6,18
H,1.75,3.5,5.0,2,4,4,6,8,6,0,4,14,14
A,2.6,3.2,2.88,2,1,7,11,14,3,4,3,19,12
H,2.2,3.25,3.5,6,1,3,21,12,0,5,5,9,20
H,1.67,3.75,5.5,3,3,4,11,9,4,4,2,18,15
H,1.18,6.5,21.0,8,2,0,24,6,5,0,5,16,16
H,2.4,3.0,3.3,2,5,3,11,11,5,2,3,13,12
A,2.25,3.1,3.5,5,4,1,16,12,6,1,3,11,10
A,3.6,3.1,2.2,5,2,3,13,12,4,3,3,14,8
H,1.8,3.5,4.75,4,3,3,17,16,6,1,3,20,11
A,2.25,3.2,3.4,3,4,3,17,18,6,1,3,11,10
D,2.4,3.2,3.1,5,0,5,17,17,2,1,7,11,14
D,2.6,3.1,2.9,0,2,8,5,19,7,1,2,16,11
D,2.0,3.2,4.2,3,4,3,7,7,4,4,2,12,11
A,5.25,3.6,1.73,3,4,3,17,11,8,2,0,26,7
H,1.83,3.5,4.5,3,0,7,10,15,1,2,7,5,19
A,2.05,3.3,3.8,6,0,4,13,12,3,4,3,11,10
D,2.25,3.1,3.5,0,5,5,9,20,5,1,4,11,14
A,1.67,3.6,5.75,0,3,7,5,18,0,2,8,2,20
D,2.55,3.1,3.0,7,0,3,14,10,4,3,3,14,16
A,2.25,3.2,3.4,6,2,2,15,11,3,3,4,16,20
H,2.1,3.1,4.0,5,1,4,9,12,5,1,4,17,16
H,2.1,3.2,3.8,2,2,6,11,13,0,6,4,9,16
D,3.1,3.2,2.4,5,1,4,18,11,3,3,4,17,12
H,1.57,3.8,6.5,5,2,3,16,7,5,0,5,11,13
D,1.4,4.75,8.0,8,2,0,23,7,3,5,2,7,5
A,1.85,3.25,5.0,4,3,3,12,9,4,0,6,12,14
H,1.91,3.25,4.5,3,5,2,12,12,5,2,3,12,10
A,2.9,3.0,2.65,4,2,4,9,11,2,2,6,9,13
H,1.36,4.75,9.5,4,4,2,15,14,1,2,7,5,21
D,2.0,3.3,4.0,3,3,4,16,22,5,2,3,19,10
H,2.2,3.1,3.6,4,1,5,16,18,5,2,3,15,14
H,2.63,3.1,2.8,3,5,2,6,4,6,2,2,20,7
D,1.91,3.3,4.5,3,3,4,17,12,7,1,2,15,9
H,1.18,7.0,17.0,7,3,0,21,7,4,3,3,12,8
D,2.88,2.9,2.8,4,1,5,12,12,4,1,5,8,16
H,2.7,3.1,2.8,4,0,6,10,17,4,5,1,13,8
D,1.8,3.3,4.75,0,6,4,8,16,0,3,7,7,17
A,1.73,3.6,5.25,6,2,2,15,10,5,0,5,11,16
D,2.05,3.1,4.2,4,2,4,14,18,4,2,4,10,12
A,3.3,3.3,2.2,1,2,7,6,20,5,1,4,19,18
D,2.45,3.0,3.2,5,1,4,10,13,4,4,2,16,15
D,3.6,3.25,2.15,0,4,6,8,16,2,5,3,17,12
H,2.4,3.0,3.3,3,2,5,12,14,3,5,2,6,4
A,1.83,3.4,4.75,4,3,3,18,10,4,0,6,12,14
H,5.0,3.6,1.75,5,2,3,17,8,7,3,0,22,7
H,2.45,3.1,3.1,3,3,4,11,11,3,4,3,16,19
A,2.3,3.1,3.4,0,7,3,9,16,4,5,1,13,8
D,3.1,3.0,2.55,4,3,3,12,11,5,2,3,12,11
D,1.67,3.75,5.5,3,4,3,16,19,0,4,6,7,15
H,1.83,3.3,5.0,3,4,3,5,6,3,3,4,13,12
H,1.53,4.0,6.5,4,3,3,18,11,1,2,7,6,19
D,1.7,3.6,5.5,2,4,4,17,13,0,6,4,10,18
H,1.45,4.0,9.0,5,2,3,16,9,4,2,4,16,20
D,1.44,4.0,9.0,6,3,1,21,8,4,1,5,14,13
D,2.3,3.1,3.4,5,0,5,14,12,6,0,4,19,17
D,3.25,3.2,2.38,6,0,4,13,15,3,5,2,15,15
H,2.2,3.0,3.6,5,4,1,14,8,4,2,4,7,12
H,2.3,3.0,3.4,1,5,4,7,14,2,0,8,6,15
D,2.1,3.2,3.8,3,3,4,8,11,3,4,3,12,12
A,2.63,3.0,3.0,2,3,5,8,11,4,2,4,10,14
A,1.57,3.75,7.0,5,4,1,15,6,3,1,6,7,13
H,1.62,3.8,6.0,8,0,2,26,5,2,3,5,11,16
A,8.0,4.2,1.45,2,2,6,6,11,6,4,0,19,7
H,2.2,3.1,3.6,4,4,2,7,6,6,0,4,12,16
H,2.2,3.3,3.4,5,2,3,14,15,3,3,4,10,12
D,3.1,3.1,2.5,4,2,4,14,13,5,3,2,10,6
D,1.62,3.8,6.0,3,5,2,16,16,3,3,4,13,13
H,3.0,3.1,2.55,4,2,4,15,21,5,2,3,11,10
A,12.0,6.0,1.25,0,2,8,4,19,6,3,1,21,8
D,3.1,3.3,2.35,6,1,3,18,15,2,5,3,17,12
H,1.85,3.25,5.0,3,2,5,6,15,4,4,2,12,10
H,2.45,3.1,3.2,0,5,5,7,14,6,1,3,14,13
A,2.0,3.3,4.0,3,2,5,12,13,5,2,3,19,11
A,3.1,2.9,2.6,3,2,5,11,12,4,3,3,7,6
D,3.2,3.2,2.38,5,4,1,17,9,5,2,3,17,9
H,2.3,3.3,3.2,0,7,3,11,17,2,5,3,13,18
H,2.6,3.0,3.0,4,4,2,10,9,5,2,3,15,13
H,2.0,3.2,4.2,5,1,4,10,11,2,2,6,9,13
D,1.75,3.3,5.5,2,4,4,13,22,3,1,6,12,14
H,1.91,3.3,4.5,4,3,3,8,7,1,6,3,14,16
H,1.8,3.5,4.75,6,1,3,21,11,1,4,5,7,13
A,1.91,3.5,4.2,2,5,3,17,12,5,5,0,19,10
H,1.62,3.75,6.0,5,3,2,19,10,4,1,5,8,15
A,1.33,5.0,10.0,6,3,1,26,7,2,6,2,15,17
H,1.5,4.33,6.5,5,1,4,13,14,0,2,8,3,25
A,2.2,3.2,3.5,3,4,3,14,11,5,2,3,14,17
A,1.73,3.6,4.75,3,5,2,17,17,2,5,3,13,19
D,2.3,3.0,3.5,6,1,3,13,15,1,2,7,6,16
A,3.4,3.1,2.3,0,2,8,4,26,5,3,2,13,8
A,3.8,3.5,2.0,4,2,4,15,18,5,3,2,19,9
A,2.3,2.9,3.75,4,0,6,8,17,5,3,2,9,4
A,3.3,3.0,2.4,1,3,6,6,15,6,1,3,12,9
H,1.57,3.75,6.5,6,3,1,25,7,7,1,2,24,9
H,3.25,3.1,2.38,2,2,6,11,15,2,4,4,18,16
H,1.95,3.2,4.5,5,5,0,22,11,2,4,4,10,11
H,2.0,3.3,4.0,1,6,3,13,15,5,1,4,13,14
D,2.15,3.2,3.5,6,2,2,14,8,1,2,7,5,16
H,1.29,5.25,10.0,7,0,3,14,9,0,2,8,3,25
A,3.75,3.2,2.05,6,2,2,14,12,7,2,1,29,8
H,2.25,3.0,3.5,5,3,2,10,4,3,4,3,16,17
A,3.5,3.4,2.1,1,2,7,8,18,5,3,2,17,9
H,2.3,3.25,3.1,6,1,3,23,12,5,5,0,21,11
D,1.83,3.5,4.33,2,3,5,18,17,3,4,3,14,19
A,2.15,3.4,3.3,5,0,5,11,14,4,1,5,16,21
H,2.4,3.0,3.2,2,4,4,11,12,4,0,6,7,16
H,1.75,3.6,4.75,2,5,3,14,14,3,1,6,13,16
H,2.1,3.4,3.6,3,3,4,16,20,1,4,5,12,17
H,5.0,4.0,1.67,0,2,8,3,20,3,4,3,13,12
A,1.85,3.3,4.75,3,4,3,14,19,5,3,2,12,8
D,2.8,3.4,2.5,5,1,4,18,21,3,4,3,17,13
A,2.4,3.1,3.2,3,0,7,7,18,1,2,7,8,19
A,3.2,3.2,2.38,1,3,6,5,14,6,2,2,14,5
D,1.55,4.2,6.0,6,3,1,18,7,6,1,3,24,11
H,1.36,5.0,8.5,7,2,1,30,8,5,0,5,11,14
A,4.0,3.2,2.0,2,1,7,10,20,7,0,3,14,9
A,1.91,3.6,4.0,4,5,1,19,13,6,2,2,14,11
H,1.44,4.33,8.0,8,0,2,15,7,5,1,4,18,21
D,1.95,3.3,4.2,6,2,2,15,11,5,0,5,11,19
D,5.5,4.33,1.57,4,3,3,19,18,8,2,0,31,5
H,1.91,3.2,4.75,0,3,7,6,18,2,1,7,9,19
D,1.62,3.6,6.5,6,2,2,16,6,6,3,1,15,7
H,1.25,5.5,12.0,2,2,6,10,17,1,2,7,5,12
H,1.65,3.8,5.5,5,2,3,23,12,3,3,4,12,12
D,0.0,0.0,0.0,1,3,6,12,18,2,0,8,5,20
D,2.7,3.1,2.8,4,4,2,17,14,4,2,4,16,19
A,3.5,3.4,2.1,2,5,3,14,14,6,3,1,17,6
A,3.4,3.2,2.25,5,4,1,10,6,1,4,5,11,14
H,1.44,4.33,8.0,3,3,4,15,20,5,3,2,15,12
D,2.0,3.3,4.0,8,0,2,14,7,2,5,3,16,16
A,4.5,4.0,1.73,1,2,7,5,14,3,4,3,15,18
A,3.5,3.25,2.2,5,1,4,17,18,5,3,2,15,6
H,3.0,3.2,2.5,2,1,7,6,19,5,2,3,22,12
H,1.3,5.25,11.0,6,3,1,18,8,1,3,6,9,17
H,1.3,5.5,10.0,7,2,1,27,8,3,5,2,13,13
D,1.95,3.25,4.33,4,1,5,10,19,2,0,8,10,21
A,2.0,3.3,4.0,3,3,4,12,13,3,2,5,14,15
H,1.7,3.8,4.75,4,3,3,18,19,5,1,4,16,16
A,1.83,3.4,4.75,3,1,6,7,16,4,2,4,10,17
A,7.5,4.33,1.45,1,3,6,10,17,8,2,0,31,6
D,1.44,4.33,8.0,5,3,2,13,6,5,2,3,15,13
H,2.38,3.3,3.1,4,1,5,15,15,2,5,3,10,16
H,2.2,3.25,3.5,5,2,3,21,9,7,1,2,12,7
H,1.91,3.3,4.2,2,4,4,11,12,3,3,4,13,13
H,1.7,3.8,4.75,6,3,1,17,8,4,3,3,17,20
H,2.5,3.1,3.1,1,1,8,8,20,4,4,2,9,7
H,1.22,6.5,13.0,1,6,3,14,16,1,2,7,7,17
A,4.75,3.4,1.85,4,3,3,9,8,1,6,3,11,16
H,1.4,4.33,8.5,4,3,3,17,22,5,1,4,17,13
A,2.38,3.2,3.1,6,1,3,11,9,4,4,2,9,5
A,4.2,3.75,1.85,5,3,2,15,11,5,2,3,20,9
D,5.0,4.2,1.65,1,2,7,7,17,3,3,4,12,12
H,3.1,3.6,2.2,4,1,5,14,18,1,2,7,10,21
H,1.29,6.0,9.5,7,3,0,30,6,3,1,6,7,16
H,2.38,3.5,2.9,5,2,3,11,16,4,3,3,20,19
H,3.3,3.75,2.05,2,3,5,11,13,6,3,1,21,9
A,1.83,3.6,4.33,2,5,3,10,15,2,1,7,9,16
H,2.0,3.25,4.2,3,4,3,11,11,5,3,2,7,5
A,3.3,3.3,2.25,3,2,5,10,13,5,3,2,15,7
H,4.0,3.3,2.0,1,0,9,4,17,8,0,2,28,5
A,4.2,3.25,2.0,4,4,2,9,7,6,4,0,18,6
H,2.25,3.1,3.5,5,0,5,11,17,2,2,6,7,11
H,2.15,3.25,3.6,4,1,5,9,13,4,3,3,14,12
H,1.73,3.4,5.75,4,2,4,9,13,2,4,4,9,13
D,2.5,3.1,3.0,1,3,6,10,22,2,2,6,5,10
D,1.83,3.4,4.75,5,3,2,18,7,3,4,3,5,6
H,1.44,4.2,8.5,7,0,3,25,7,2,4,4,10,12
A,2.5,3.1,3.1,2,3,5,4,8,4,2,4,9,13
A,2.6,2.88,3.1,5,3,2,7,6,5,1,4,12,13
A,2.25,3.1,3.5,4,3,3,12,14,2,0,8,5,15
D,1.25,5.75,13.0,6,4,0,18,4,3,4,3,11,10
D,2.0,3.5,3.75,4,3,3,13,12,6,0,4,13,15
A,2.25,3.2,3.4,1,4,5,9,20,2,2,6,7,15
A,2.25,3.1,3.5,2,3,5,10,15,4,3,3,12,11
D,2.1,3.1,4.0,3,4,3,12,11,3,4,3,14,14
H,2.15,3.1,3.75,3,2,5,10,15,2,3,5,5,9
D,2.05,3.3,3.8,7,0,3,25,8,5,4,1,17,5
A,1.7,3.6,5.5,4,3,3,8,9,2,2,6,7,15
D,8.0,4.75,1.4,6,1,3,13,13,5,5,0,15,6
D,2.38,3.0,3.4,5,1,4,13,13,3,4,3,4,5
H,1.67,3.5,6.0,5,2,3,11,9,4,3,3,6,8
A,1.85,3.2,5.0,2,4,4,3,7,3,3,4,5,11
H,2.2,3.2,3.5,3,2,5,10,16,4,2,4,12,15
H,1.5,4.0,7.5,4,5,1,16,5,2,2,6,10,17
A,3.2,3.1,2.4,1,3,6,5,11,4,3,3,9,10
H,2.7,3.0,2.88,4,3,3,14,12,3,5,2,12,10
H,1.2,6.5,17.0,5,5,0,15,6,3,0,7,6,11
D,2.9,3.1,2.6,3,5,2,15,13,6,1,3,23,8
A,3.4,3.1,2.3,1,3,6,8,21,5,2,3,12,9
H,2.88,3.1,2.63,2,2,6,9,16,3,5,2,13,11
H,2.75,3.0,2.8,2,5,3,11,15,5,4,1,17,4
D,3.25,3.1,2.38,3,0,7,6,13,4,3,3,11,12
H,2.2,3.25,3.5,1,2,7,7,14,4,2,4,12,15
A,10.0,4.33,1.4,4,3,3,6,8,6,4,0,17,5
H,2.7,3.1,2.8,4,3,3,11,14,2,5,3,3,6
D,1.73,3.5,5.5,5,2,3,14,11,1,3,6,7,19
A,1.73,3.6,5.25,5,2,3,12,9,5,3,2,19,11
H,2.45,3.2,2.88,5,1,4,11,12,5,1,4,12,12
H,2.0,3.1,4.33,2,4,4,3,7,2,2,6,9,14
H,2.6,3.2,2.8,4,2,4,13,13,3,4,3,13,15
H,1.62,3.75,6.0,4,4,2,14,7,5,3,2,12,9
D,1.85,3.4,4.75,3,4,3,13,15,5,3,2,15,9
H,1.33,5.0,10.0,6,4,0,19,6,4,2,4,17,11
A,2.63,3.1,2.88,1,4,5,8,18,3,1,6,9,15
A,2.0,3.25,4.2,5,3,2,24,13,4,1,5,8,11
H,1.17,7.0,15.0,5,3,2,22,16,1,5,4,11,17
H,1.8,3.4,4.2,7,0,3,24,11,4,4,2,23,16
D,1.55,3.8,6.25,4,5,1,18,15,1,4,5,13,18
A,1.53,3.8,6.5,5,1,4,15,12,4,1,5,8,12
H,1.75,3.5,4.75,3,4,3,23,22,5,3,2,14,10
A,4.5,3.5,1.8,1,3,6,6,15,4,5,1,15,8
H,3.25,3.4,2.15,2,3,5,10,20,6,2,2,17,15
A,2.1,3.3,3.5,2,1,7,9,20,2,3,5,11,16
H,1.5,4.0,6.5,7,1,2,27,15,3,0,7,8,16
H,1.8,3.5,4.5,6,1,3,15,16,3,6,1,16,14
H,2.7,3.4,2.5,4,3,3,13,15,7,1,2,28,16
A,2.8,3.3,2.5,4,5,1,14,8,6,2,2,23,15
H,1.25,5.5,12.0,3,4,3,21,17,1,3,6,6,14
D,3.1,3.3,2.3,3,3,4,13,15,4,1,5,13,14
A,2.1,3.3,3.5,1,4,5,10,18,2,1,7,9,19
H,2.3,3.3,3.1,5,1,4,10,11,3,3,4,13,17
